pose,timestamp_ms,pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8,pv9,pv10,pv11
5,361193,232,400,0,0,0,429,652,563,0,609,489
5,362196,214,363,0,0,0,417,658,567,0,597,497
5,363200,229,379,0,0,0,419,659,569,0,612,522
5,364203,232,376,0,0,0,422,662,564,0,611,515
5,365206,235,384,0,0,0,425,663,565,0,612,518
5,366209,239,386,0,0,0,426,662,567,0,610,518
5,367212,241,385,0,0,0,427,664,569,0,608,525
5,368216,241,384,0,0,0,429,664,569,0,610,523
5,369218,238,382,0,0,0,429,665,569,0,604,517
5,370222,236,383,0,0,0,428,665,571,0,601,521
5,371225,239,383,0,0,0,425,666,572,0,602,523
5,372228,241,384,0,0,0,430,668,572,0,605,517
5,373231,254,377,0,0,0,428,669,549,0,613,497
5,374234,251,389,0,1,0,431,671,554,0,616,515
5,375237,261,398,0,0,0,438,669,555,0,619,533
5,376241,250,400,0,0,0,442,671,557,0,618,525
5,377243,246,408,0,0,0,442,665,550,0,630,520
5,378247,0,681,559,81,74,536,683,540,88,624,155
6,379250,82,754,565,0,0,343,567,546,0,538,172
6,380253,0,268,298,273,501,720,650,605,294,389,466
6,381256,0,565,594,412,490,691,538,513,372,539,414
6,382260,0,533,552,398,525,704,567,521,362,518,455
6,383263,0,550,548,421,534,701,558,495,423,521,421
6,384267,8,551,554,442,542,707,569,502,441,533,429
6,385270,8,555,557,446,546,708,572,506,447,537,434
6,386274,0,537,548,450,550,719,581,507,450,540,433
6,387277,8,541,555,466,549,719,579,505,463,550,431
6,388281,0,520,535,454,553,721,584,507,454,539,430
6,389283,1,532,548,461,548,717,583,521,455,537,440
6,390287,0,537,548,462,553,719,585,507,467,553,438
6,391290,0,536,554,469,552,719,587,505,469,558,436
6,392294,0,530,548,464,553,721,590,508,465,554,436
6,393297,0,542,562,470,538,716,579,505,452,554,434
6,394301,0,522,551,435,537,715,583,491,431,522,443
6,395304,7,549,551,456,532,708,577,499,452,538,426
6,396308,0,542,553,460,537,713,583,504,460,544,435
6,397312,0,545,553,450,536,711,585,506,456,545,439
6,398314,0,546,555,453,536,711,586,506,458,539,441
6,399318,0,546,556,453,538,712,587,508,464,541,442
6,400321,0,547,559,461,540,712,586,508,466,544,442
6,401325,0,546,560,464,538,713,589,512,467,552,445
6,402328,0,546,561,467,540,714,589,512,469,555,447
6,403332,0,544,560,466,543,714,590,512,471,556,446
6,404335,0,545,562,465,544,714,590,513,473,559,446
6,405339,0,541,562,466,542,713,590,512,473,560,447
6,406342,0,544,562,470,544,713,591,513,473,557,448
6,407345,0,545,562,469,545,713,591,513,476,555,449
6,408348,0,545,564,463,545,713,590,514,474,550,447
6,409352,0,546,564,470,547,714,592,514,474,553,447
6,410355,0,545,560,469,549,717,594,515,472,559,442
6,411359,0,544,558,469,550,715,593,517,469,555,443
6,412362,0,544,560,470,552,716,594,514,472,555,444
6,413366,0,539,557,469,554,715,594,514,476,555,442
6,414369,0,541,559,469,555,716,595,518,476,560,444
6,415373,0,540,559,470,554,715,595,517,473,557,447
6,416376,0,544,560,471,556,715,595,517,475,560,448
6,417379,0,543,562,474,555,715,595,517,477,564,450
6,418382,0,543,560,478,557,716,593,516,478,565,443
6,419386,0,550,562,479,542,712,583,512,467,566,435
6,420389,0,549,561,477,544,713,584,509,467,558,430
6,421393,0,547,550,475,541,712,585,508,465,557,429
6,422396,0,550,554,479,540,711,585,509,469,562,431
6,423400,2,551,556,477,539,710,585,512,473,560,434
6,424403,0,552,558,480,540,712,586,512,473,563,435
6,425407,0,553,559,479,540,712,587,513,474,565,436
6,426409,0,553,561,479,540,712,587,514,476,560,436
6,427413,0,552,560,480,544,712,589,515,476,564,439
6,428417,0,551,561,480,545,712,589,516,478,564,442
6,429420,0,551,561,479,542,712,589,516,476,569,442
6,430424,0,552,562,481,544,712,589,517,478,571,442
6,431427,0,556,561,477,538,709,584,512,468,570,434
6,432431,0,562,578,492,527,706,563,504,468,581,421
6,433434,0,563,574,490,528,709,568,505,477,577,422
6,434438,0,552,557,474,534,708,574,511,471,568,426
6,435440,0,554,561,481,536,709,576,511,480,571,430
6,436444,0,554,564,488,539,710,577,513,482,576,431
6,437447,0,514,489,424,480,736,600,445,399,594,434
7,438451,414,588,598,527,536,736,291,0,439,609,181
7,439454,410,586,562,450,215,521,73,0,236,470,395
7,440458,392,660,663,542,411,714,278,0,353,687,580
7,441461,322,597,528,369,436,700,495,11,343,577,532
7,442465,330,607,489,346,338,677,518,67,286,588,550
7,443468,327,602,500,343,366,688,536,70,302,584,551
7,444472,342,613,519,352,363,686,533,85,312,594,557
7,445474,341,617,515,355,354,675,532,89,309,585,555
7,446478,348,619,521,372,378,684,534,78,337,598,557
7,447481,356,620,525,374,383,685,530,101,335,601,561
7,448485,358,620,531,366,386,688,521,82,323,595,564
7,449488,359,621,537,375,393,689,528,71,345,603,567
7,450492,365,623,541,381,396,690,533,105,350,605,569
7,451495,367,622,527,367,408,692,542,102,338,607,571
7,452499,361,621,540,389,411,695,536,68,351,614,568
7,453502,351,618,538,396,435,699,537,93,365,617,565
7,454506,369,622,550,402,442,696,527,68,366,617,567
7,455510,376,624,561,402,446,697,522,67,380,618,570
7,456513,358,619,545,391,412,697,534,101,352,609,566
7,457517,371,621,552,395,414,694,533,118,358,612,568
7,458520,357,619,546,401,439,699,538,76,376,619,567
7,459524,371,621,552,397,419,696,535,113,362,611,567
7,460527,370,621,553,398,406,696,534,100,349,611,568
7,461531,372,622,555,402,407,695,534,105,353,614,570
7,462534,372,622,557,403,415,696,535,112,351,617,568
7,463538,366,621,557,402,417,697,535,90,355,613,568
7,464541,373,622,556,397,416,696,535,93,351,610,569
7,465545,370,621,556,402,402,688,531,107,334,608,566
7,466548,370,623,558,408,399,689,532,90,343,607,568
7,467552,376,622,554,405,399,689,538,133,344,606,568
7,468555,380,623,555,394,391,688,540,134,341,607,569
7,469559,365,623,549,405,440,693,537,76,365,636,568
7,470561,368,623,553,408,430,702,538,50,356,617,565
7,471565,375,626,562,410,434,701,537,64,360,627,569
7,472568,373,625,562,420,446,702,543,76,365,640,571
7,473572,370,623,557,412,440,703,543,71,354,622,565
7,474575,375,625,556,399,400,698,535,75,332,617,568
7,475579,371,624,561,396,396,697,540,80,332,613,567
7,476582,386,621,505,394,417,704,491,47,346,592,583
7,477586,383,627,549,404,403,699,510,64,347,610,586
7,478589,381,627,558,410,404,698,519,61,351,610,580
7,479593,372,626,564,432,442,699,524,75,388,622,568
7,480596,384,628,559,426,428,700,526,85,378,620,574
7,481600,388,629,564,425,402,700,526,89,370,620,576
7,482604,388,630,567,430,429,701,531,78,381,626,577
7,483607,384,631,567,426,390,697,520,62,367,626,572
7,484611,389,633,572,434,388,695,518,53,369,625,569
7,485613,390,631,575,431,400,694,508,65,373,625,570
7,486617,390,631,573,433,407,696,509,52,378,627,570
7,487620,387,629,571,436,428,697,513,54,384,625,563
7,488624,387,629,571,438,429,697,514,47,382,626,566
7,489627,386,627,566,434,435,698,518,54,379,630,569
7,490631,383,626,564,424,430,695,509,36,363,618,561
7,491634,382,628,570,437,439,697,511,37,381,622,562
7,492638,376,628,573,441,443,698,513,56,389,626,564
7,493641,385,629,575,442,443,700,517,50,386,634,566
7,494645,387,630,578,448,446,701,520,58,395,636,567
